"ItemSetSupport","RelativeItemSetSupport%","Split Value 1","Split Value 2","combined string"
3,0.42313,"NIGELLUS","PHINEA","NIGELLUS,PHINEA"
3,0.42313,"CORMAC","MCLAGGEN","CORMAC,MCLAGGEN"
4,0.56417,"ALBUS","DUMBLEDORE","ALBUS,DUMBLEDORE"
3,0.42313,"DOBBY","KREACHER","DOBBY,KREACHER"
3,0.42313,"LOVEGOOD","LUNA","LOVEGOOD,LUNA"
5,0.70522,"MOANE","MYRTLE","MOANE,MYRTLE"
4,0.56417,"LORD","VOLDEMORT","LORD,VOLDEMORT"
4,0.56417,"ROMILDA","VANE","ROMILDA,VANE"
4,0.56417,"HORACE","SLUGHORN","HORACE,SLUGHORN"
3,0.42313,"MALFOY","NARCISSA","MALFOY,NARCISSA"
3,0.42313,"DUMBLEDORE","DURSLEY","DUMBLEDORE,DURSLEY"
3,0.42313,"FANG","HAGRID","FANG,HAGRID"
4,0.56417,"MORFIN","MUGGLE","MORFIN,MUGGLE"
6,0.84626,"BELL","KATIE","BELL,KATIE"
7,0.98731,"MADAM","MALKIN","MADAM,MALKIN"
3,0.42313,"ERNIE","RON","ERNIE,RON"
5,0.70522,"RUFUS","SCRIMGEOUR","RUFUS,SCRIMGEOUR"
5,0.70522,"ADVANC","POTION-MAKE","ADVANC,POTION-MAKE"
3,0.42313,"ADVANC","RON","ADVANC,RON"
3,0.42313,"POTION-MAKE","RON","POTION-MAKE,RON"
5,0.70522,"DEAN","GINNY","DEAN,GINNY"
4,0.56417,"HARRY","KREACHER","HARRY,KREACHER"
3,0.42313,"BILL","FLEUR","BILL,FLEUR"
3,0.42313,"FLEUR","WEASLEY","FLEUR,WEASLEY"
3,0.42313,"FLEUR","RON","FLEUR,RON"
7,0.98731,"BORGIN","BURKES","BORGIN,BURKES"
4,0.56417,"MEROPE","RIDDLE","MEROPE,RIDDLE"
3,0.42313,"MEROPE","TOM","MEROPE,TOM"
5,0.70522,"BROWN","LAVENDER","BROWN,LAVENDER"
5,0.70522,"BROWN","RON","BROWN,RON"
5,0.70522,"HARRY","ZABINI","HARRY,ZABINI"
3,0.42313,"HARRY","HOGWART","HARRY,HOGWART"
3,0.42313,"LAVENDER","PARVATI","LAVENDER,PARVATI"
3,0.42313,"PARVATI","RON","PARVATI,RON"
4,0.56417,"QUIDDITCH","RON","QUIDDITCH,RON"
4,0.56417,"LUCIUS","MALFOY","LUCIUS,MALFOY"
3,0.42313,"LUCIUS","VOLDEMORT","LUCIUS,VOLDEMORT"
5,0.70522,"WEASLEY","WIZARD","WEASLEY,WIZARD"
