node1,node2,weight,relative_weight
AMOS,DIGGORY,3,0.3856
DEATH,EATER,3,0.3856
BRYCE,FRANK,4,0.5141399999999999
BARTY,CROUCH,3,0.3856
LORD,VOLDEMORT,3,0.3856
LUCIUS,MALFOY,3,0.3856
MOANE,MYRTLE,5,0.64267
WEASLEY,WIZARD,3,0.3856
ERNIE,MACMILLAN,3,0.3856
HARRY,HEDWIG,4,0.5141399999999999
HARRY,MOODY,3,0.3856
CORNELIUS,FUDGE,6,0.7712100000000001
FANG,HARRY,3,0.3856
BROWN,LAVENDER,5,0.64267
PIGWIDGEON,RON,5,0.64267
HARRY,PIGWIDGEON,3,0.3856
CEDRIC,CHO,4,0.5141399999999999
CHO,HARRY,4,0.5141399999999999
CREEVEY,DENNIS,5,0.64267
ALBUS,DUMBLEDORE,7,0.89974
DAVY,ROGER,4,0.5141399999999999
DAVY,FLEUR,3,0.3856
DAVY,HARRY,3,0.3856
JORDAN,LEE,8,1.0283
KARKAROFF,MAXIME,4,0.5141399999999999
HARRY,SIRIUS,5,0.64267
HARRY,HUFFLEPUFF,3,0.3856
GRYFFINDOR,RON,3,0.3856
DUMBLEDORE,POTTER,4,0.5141399999999999
LAVENDER,PARVATI,6,0.7712100000000001
DUDLEY,DURSLEY,4,0.5141399999999999
DUDLEY,WEASLEY,3,0.3856
DUDLEY,HARRY,5,0.64267
RON,TRELAWNEY,6,0.7712100000000001
HARRY,TRELAWNEY,5,0.64267
DRACO,MALFOY,10,1.2853
DRACO,HARRY,3,0.3856
CRABBE,GOYLE,9,1.1568
PADMA,PARVATI,3,0.3856
PADMA,RON,5,0.64267
HARRY,PADMA,3,0.3856
HARRY,LEE,4,0.5141399999999999
HARRY,SNAPE,5,0.64267
HARRY,HOGWART,5,0.64267
DELACOUR,ROGER,3,0.3856
FLEUR,ROGER,5,0.64267
ROGER,RON,3,0.3856
HARRY,ROGER,3,0.3856
CEDRIC,DIGGORY,8,1.0283
BILL,CHARLIE,9,1.1568
BERTHA,JORKIN,12,1.5424
JORKIN,VOLDEMORT,4,0.5141399999999999
DOBBY,WEASLEY,3,0.3856
DOBBY,HARRY,8,1.0283
MADAM,POMFREY,14,1.7995
HARRY,POMFREY,3,0.3856
GINNY,WEASLEY,3,0.3856
GINNY,HERMIONE,4,0.5141399999999999
GINNY,RON,8,1.0283
GINNY,HARRY,3,0.3856
HARRY,MADAM,3,0.3856
BEAUXBATON,DURMSTRANG,6,0.7712100000000001
BEAUXBATON,HAGRID,3,0.3856
BEAUXBATON,HARRY,5,0.64267
DURSLEY,WEASLEY,3,0.3856
DURSLEY,HARRY,13,1.671
PARVATI,RON,4,0.5141399999999999
HARRY,PARVATI,4,0.5141399999999999
BAGMAN,PERCY,3,0.3856
PERCY,WEASLEY,5,0.64267
PERCY,RON,5,0.64267
HARRY,PERCY,4,0.5141399999999999
BERTHA,VOLDEMORT,4,0.5141399999999999
DURMSTRANG,VIKTOR,3,0.3856
DURMSTRANG,KRUM,4,0.5141399999999999
DURMSTRANG,HARRY,5,0.64267
FLEUR,VIKTOR,3,0.3856
KRUM,VIKTOR,16,2.0566
CEDRIC,VIKTOR,3,0.3856
HERMIONE,VIKTOR,3,0.3856
RON,VIKTOR,3,0.3856
DELACOUR,FLEUR,17,2.1851
DELACOUR,KRUM,4,0.5141399999999999
CEDRIC,DELACOUR,3,0.3856
DELACOUR,HARRY,3,0.3856
MALFOY,WEASLEY,3,0.3856
HERMIONE,MALFOY,3,0.3856
MALFOY,RON,4,0.5141399999999999
HARRY,MALFOY,6,0.7712100000000001
DUMBLEDORE,MCGONAGALL,5,0.64267
MCGONAGALL,RON,4,0.5141399999999999
HARRY,MCGONAGALL,6,0.7712100000000001
GEORGE,WEASLEY,4,0.5141399999999999
GEORGE,RON,6,0.7712100000000001
GEORGE,HARRY,11,1.4139
HAGRID,KARKAROFF,3,0.3856
HAGRID,RITA,3,0.3856
HAGRID,RON,4,0.5141399999999999
HAGRID,HARRY,11,1.4139
KARKAROFF,LUDO,4,0.5141399999999999
FLEUR,KARKAROFF,3,0.3856
KARKAROFF,RON,6,0.7712100000000001
HARRY,KARKAROFF,12,1.5424
BAGMAN,LUDO,19,2.4422
DUMBLEDORE,LUDO,3,0.3856
LUDO,RON,4,0.5141399999999999
HARRY,LUDO,4,0.5141399999999999
FLEUR,KRUM,7,0.89974
CEDRIC,FLEUR,5,0.64267
FLEUR,RON,5,0.64267
FLEUR,HARRY,7,0.89974
RITA,SKEETER,43,5.527
RON,SKEETER,3,0.3856
HARRY,SKEETER,8,1.0283
BAGMAN,DUMBLEDORE,3,0.3856
BAGMAN,CEDRIC,4,0.5141399999999999
BAGMAN,WEASLEY,3,0.3856
BAGMAN,RON,3,0.3856
BAGMAN,HARRY,11,1.4139
DUMBLEDORE,KRUM,4,0.5141399999999999
CEDRIC,KRUM,8,1.0283
HERMIONE,KRUM,8,1.0283
KRUM,RON,9,1.1568
HARRY,KRUM,17,2.1851
DUMBLEDORE,VOLDEMORT,3,0.3856
DUMBLEDORE,HERMIONE,3,0.3856
